table_name,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-06-24T21:22:48.728887,0.6855
profitandloss,1276,1164,112,2026-06-24T21:22:49.257792,0.5279
balancesheet,1312,1140,172,2026-06-24T21:22:49.931440,0.6727
cashflow,1187,1056,131,2026-06-24T21:22:50.398508,0.4661
analysis,20,4,16,2026-06-24T21:22:50.438334,0.0388
documents,1585,1456,129,2026-06-24T21:22:51.008050,0.5686
prosandcons,16,4,12,2026-06-24T21:22:51.052767,0.0447
sectors,92,92,0,2026-06-24T21:22:51.127262,0.0745
stock_prices,5520,5520,0,2026-06-24T21:22:52.744734,1.6165
peer_groups,56,56,0,2026-06-24T21:22:52.825261,0.0785
